
1420893,-15
1422455,-18
1423497,-20
1424539,-22
1425581,-24
1426622,-26
1427664,-28
1429226,-32
1430268,-34
1431310,-37
1432351,-40
1433394,-42
1434435,-45
1435997,-49
1437039,-52
1438080,-55
1439122,-58
1440164,-61
1441206,-64
1442768,-69
1443810,-72
1444852,-75
1445893,-78
1446935,-82
1447977,-85
1449539,-90
1450581,-94
1451622,-97
1452664,-101
14537-39,-37
1432872,-44,-41
1434434,-48,-45
1435996,-52,-49
1437559,-57,-53
1438602,-60,-56
1440164,-64,-60
1441726,-69,-65
1443289,-74,-69
1444851,-79,-74
1446413,-84,-79
1447455,-87,-82
1449018,-93,-87
1450581,-98,-92
1452143,-103,-97
1453705,13404093,-872,-685
13404130,-872,-685
13404163,-872,-685
13404196,-872,-685
13405094,-872,-685
13406657,-872,-685
13408740,-873,-686
13410303,-874,-687
13411866,-876,-689
13413948,-878,-691
13415511,-880,-693
13417073,-883,-695
13419157,-886,-698
13420719,-889,-701
13422282,-892,-704
13424364,-897,-708
13425927,-900,-711
13427490,-904,-715
13429572,-909,-719
13431135,-913,-723
13432698,-917,-727
13434781,-923,-732
13436344,-928,-737
13437907,-932,-741
13439990,-938,-747
13441553,-943,-752
13443115,-948,-756
13445198,-955,-763
13446760,-960,-768
13448323,-965,-772
13450407,-972,-779
13451969,-978,-784
13453532,-983,-789
13455615,-990,-796
13457177,-996,-802
13458740,-1002,-807
13460823,-1009,-814
13462386,-1015,-820
13464469,-1023,-827
13466032,-1028,-833
13468115,-1036,-840
13469678,-1042,-846
13471761,-1050,-853
13473323,-1056,-859
13475406,-1064,-867
13476969,-1070,-873
13479053,-1079,-880
13480615,-1085,-886
13482698,-1093,-894
13484261,-1099,-900
13486344,-1108,-908
13487907,-1114,-914
13489990,-1122,-922
13491553,-1129,-928
13493635,-1137,-936
13495199,-1144,-942
13497282,-1152,-950
13498845,-1158,-956
13500927,-1167,-964
13502490,-1174,-970
13504573,-1182,-978
13506138,-1189,-984
13508220,-1197,-993
13509783,-1204,-998
13511866,-1212,-1006
13513429,-1218,-1012
13515512,-1226,-1019
13517595,-1234,-1026
13519159,-1240,-1031
13521241,-1248,-1038
13523324,-1256,-1045
13524887,-1262,-1050
13526971,-1269,-1056
13529054,-1276,-1062
13530617,-1282,-1066
13532700,-1289,-1072
13534783,-1296,-1078
13536346,-1301,-1082
13538428,-1308,-1087
13540512,-1314,-1092
13542075,-1319,-1095
13544159,-1326,-1100
13546241,-1332,-1104
13547804,-1337,-1108
13549888,-1343,-1112
13551971,-1349,-1116
13553534,-1353,-1119
13555616,-1359,-1122
13557700,-1365,-1126
13559262,-1369,-1128
13561346,-1374,-1132
13563429,-1380,-1135
13564992,-1384,-1137
13567075,-1389,-1140
13569158,-1394,-1142
13570721,-1397,-1144
13572804,-1402,-1146
13574887,-1407,-1149
13576450,-1410,-1150
13578534,-1415,-1152
13580616,-1419,-1154
13582179,-1422,-1155
13584262,-1426,-1156
13586346,-1430,-1157
13587909,-1434,-1158
13589991,-1437,-1159
13592075,-1441,-1160
13593638,-1444,-1161
13595721,-1447,-1161
13597804,-1451,-1162
13599367,-1453,-1162
13601450,-1456,-1162
13603533,-1460,-1162
13605096,-1462,-1162
13607179,-1464,-1162
13609262,-1467,-1162
13610826,-1470,-1162
13612908,-1472,-1162
13614991,-1475,-1162
13616555,-1476,-1162
13618637,-1479,-1162
13620720,-1481,-1162
13622284,-1482,-1162
13624366,-1485,-1162
13626450,-1486,-1162
13628013,-1488,-1162
13630096,-1490,-1162
13632178,-1491,-1162
13633742,-1492,-1162
13635824,-1494,-1162
13637908,-1496,-1162
13639471,-1496,-1162
13641554,-1498,-1162
13643637,-1499,-1162
13645200,-1500,-1162
13647283,-1500,-1162
13649366,-1501,-1162
13650929,-1502,-1162
13653012,-1503,-1162
13655096,-1503,-1162
13656658,-1504,-1162
13658741,-1504,-1162
13660825,-1505,-1162
13662388,-1505,-1162
13664471,-1505,-1162
13666554,-1505,-1162
13668116,-1505,-1162
13670200,-1505,-1162
13672282,-1505,-1162
13673846,-1505,-1162
13675929,-1505,-1162
13678012,-1505,-1162
13679575,-1505,-1162
13681658,-1505,-1162
13683741,-1505,-1162
13685305,-1505,-1162
13687387,-1505,-1162
13689470,-1505,-1162
13691033,-1505,-1162
13693117,-1505,-1162
13695200,-1505,-1162
13696763,-1505,-1162
13698846,-1505,-1162
13700929,-1505,-1162
13702491,-1505,-1162
13704575,-1505,-1162
13706658,-1505,-1162
13708221,-1505,-1162
13710304,-1505,-1162
13712387,-1505,-1162
13713950,-1505,-1162
13716033,-1505,-1162
13718117,-1505,-1162
13719679,-1505,-1162
13721762,-1505,-1162
13723845,-1505,-1162
13725408,-1505,-1162
13727491,-1505,-1162
13729575,-1505,-1162
13731138,-1505,-1162
13733221,-1505,-1162
13735303,-1505,-1162
13736866,-1505,-1162
13738949,-1505,-1162
13741033,-1505,-1162
13742596,-1505,-1162
13744679,-1505,-1162
13746762,-1505,-1162
13748325,-1505,-1162
13750409,-1505,-1162
13752492,-1505,-1162
13754054,-1505,-1162
13756137,-1505,-1162
13758220,-1505,-1162
13759783,-1505,-1162
13761866,-1505,-1162
13763949,-1505,-1162
13765513,-1505,-1162
13767595,-1505,-1162
13769679,-1505,-1162
13771242,-1505,-1162
13773325,-1505,-1162
13775408,-1505,-1162
13776970,-1505,-1162
13779053,-1505,-1162
13781137,-1505,-1162
13782700,-1505,-1162
13784783,-1505,-1162
13786866,-1505,-1162
13788430,-1505,-1162
13790513,-1505,-1162
13792595,-1505,-1162
13794158,-1505,-1162
13796242,-1505,-1162
13798324,-1505,-1162
13799887,-1505,-1162
13801971,-1505,-1162
13804054,-1505,-1162
13805617,-1505,-1162
13807700,-1505,-1162
13809783,-1505,-1162
13811346,-1505,-1162
13813429,-1505,-1162
13815512,-1505,-1162
13817075,-1505,-1162
13819158,-1505,-1162
13821241,-1505,-1162
13822804,-1505,-1162
13824887,-1505,-1162
13826970,-1505,-1162
13828534,-1505,-1162
13830616,-1505,-1162
13832700,-1505,-1162
13834262,-1505,-1162
13836345,-1505,-1162
13838429,-1505,-1162
13839991,-1505,-1162
13842075,-1505,-1162
13844158,-1505,-1162
13845721,-1505,-1162
13847804,-1505,-1162
13849887,-1505,-1162
13851450,-1505,-1162
13853533,-1505,-1162
13855616,-1505,-1162
13857179,-1505,-1162
13859262,-1505,-1162
13861345,-1505,-1162
13862909,-1505,-1162
13864991,-1505,-1162
13867074,-1505,-1162
13868638,-1505,-1162
13870721,-1505,-1162
13872804,-1505,-1162
13874367,-1505,-1162
13876449,-1505,-1162
13878532,-1505,-1162
13880096,-1505,-1162
13882180,-1505,-1162
13884262,-1505,-1162
13885826,-1505,-1162
13887908,-1505,-1162
13889991,-1505,-1162
13891554,-1505,-1162
13893637,-1505,-1162
13895721,-1505,-1162
13897283,-1505,-1162
13899366,-1505,-1162
13901449,-1505,-1162
13903012,-1505,-1162
13905096,-1505,-1162
13907178,-1505,-1162
13908742,-1505,-1162
13910824,-1505,-1162
13912908,-1505,-1162
13914471,-1505,-1162
13916554,-1505,-1162
13918637,-1505,-1162
13920200,-1505,-1162
13922283,-1505,-1162
13924367,-1505,-1162
13925930,-1505,-1162
13928012,-1505,-1162
13930095,-1505,-1162
13931658,-1505,-1162
13933742,-1505,-1162
13935824,-1505,-1162
13937388,-1505,-1162
13939470,-1505,-1162
13941553,-1505,-1162
13943116,-1505,-1162
13945200,-1505,-1162
13947283,-1505,-1162
13948846,-1505,-1162
13950929,-1505,-1162
13953012,-1505,-1162
13954575,-1505,-1162
13956658,-1505,-1162
13958742,-1505,-1162
13960304,-1505,-1162
13962387,-1505,-1162
13964471,-1505,-1162
13966033,-1505,-1162
13968116,-1505,-1162
13970200,-1505,-1162
13971763,-1505,-1162
13973845,-1505,-1162
13975929,-1505,-1162
13977492,-1505,-1162
13979575,-1505,-1162
13981658,-1505,-1162
13983221,-1505,-1162
13985304,-1505,-1162
13987386,-1505,-1162
13988950,-1505,-1162
13991033,-1505,-1162
13993116,-1505,-1162
13994680,-1505,-1162
13996762,-1505,-1162
13998845,-1505,-1162
14000408,-1505,-1162
14002491,-1505,-1162
14004575,-1505,-1162
14006138,-1505,-1162
14008220,-1505,-1162
14010303,-1505,-1162
14011867,-1505,-1162
14013950,-1505,-1162
14016033,-1505,-1162
14017596,-1505,-1162
14019679,-1505,-1162
14021762,-1505,-1162
14023325,-1505,-1162
14025408,-1505,-1162
14027491,-1505,-1162
14029054,-1505,-1162
14031138,-1505,-1162
14033220,-1505,-1162
14034784,-1505,-1162
14036866,-1505,-1162
14038949,-1505,-1162
14040513,-1505,-1162
14042596,-1505,-1162
14044679,-1505,-1162
14046242,-1505,-1162
14048325,-1505,-1162
14050408,-1505,-1162
14051971,-1505,-1162
14054054,-1505,-1162
14056137,-1505,-1162
14057700,-1505,-1162
14059784,-1505,-1162
14061866,-1505,-1162
14063429,-1505,-1162
14065512,-1505,-1162
14067595,-1505,-1162
14069158,-1505,-1162
14071241,-1505,-1162
14073324,-1505,-1162
14074887,-1505,-1162
14076971,-1505,-1162
14079054,-1505,-1162
14080617,-1505,-1162
14082699,-1505,-1162
14084783,-1505,-1162
14086346,-1505,-1162
14088429,-1505,-1162
14090512,-1505,-1162
14092075,-1505,-1162
14094159,-1505,-1162
14096241,-1505,-1162
14097805,-1505,-1162
14099887,-1505,-1162
14101970,-1505,-1162
14103534,-1505,-1162
14105616,-1505,-1162
14107699,-1505,-1162
14109263,-1505,-1162
14111346,-1505,-1162
14113428,-1505,-1162
14114992,-1505,-1162
14117075,-1505,-1162
14119157,-1505,-1162
14120721,-1505,-1162
14122804,-1505,-1162
14124887,-1505,-1162
14126450,-1505,-1162
14128533,-1505,-1162
14130616,-1505,-1162
14132180,-1505,-1162
14134262,-1505,-1162
14136346,-1505,-1162
14137909,-1505,-1162
14139991,-1505,-1162
14142075,-1505,-1162
14143638,-1505,-1162
14145721,-1505,-1162
14147803,-1505,-1162
14149367,-1505,-1162
14151450,-1505,-1162
14153533,-1505,-1162
14155096,-1505,-1162
14157179,-1505,-1162
14159262,-1505,-1162
14160825,-1505,-1162
14162908,-1505,-1162
14164991,-1505,-1162
14166554,-1505,-1162
14168638,-1505,-1162
14170720,-1505,-1162
14172284,-1505,-1162
14174366,-1505,-1162
14176450,-1505,-1162
14178012,-1505,-1162
14180096,-1505,-1162
14182179,-1505,-1162
14183742,-1505,-1162
14185825,-1505,-1162
14187908,-1505,-1162
14189471,-1505,-1162
14191554,-1505,-1162
